URL,ID
https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/domestic/263942/live_mi_s.m3u8,NHKWorld
http://139.99.4.28/,WREP
http://www.touhouradio.com/touhouradio.m3u,touhouradio
http://cabhs30.sonixcast.com:9774/.mp3,J1 HITS
http://cabhs31.sonixcast.com:20080/.mp3,J1 XTRA
http://cabhs37.sonixcast.com:20054/.mp3,J1 GOLD
http://icy1.abacast.com/kplu-jazz24mp3-32.m3u,Jazz24
http://wnyc-wqxr-ice.streamguys.com:80/wqxr,WQXR
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1_mf_p,BBC Radio 1
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio2_mf_p,BBC Radio 2
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio3_mf_p,BBC Radio 3
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4fm_mf_p,BBC Radio 4
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio5live_mf_p,BBC Radio 5
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_6music_mf_p,BBC Radio 6
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio1xtra_mf_p,BBC Radio 1 Extra
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_radio4extra_mf_p,BBC Radio 4 Extra
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_asianet_mf_p,BBC Radio Asian Network
http://bbcwssc.ic.llnwd.net/stream/bbcwssc_mp1_ws-eieuk,BBC World Service
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrbris_mf_p,BBC Radio Bristol
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrcambs_mf_p,BBC Radio Cambridgeshire
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrldn_mf_p,BBC Radio London
http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lroxford_mf_p,BBC Radio Oxford
http://138.201.248.93:80/top40,RauteMusik Top40
http://138.201.248.93:80/happyhardcore,RauteMusik Happy Hard Core
http://138.201.248.93:80/main,RauteMusik Main
http://138.201.248.93:80/90s,RauteMusik 90s
http://138.201.248.93:80/solopiano,RauteMusik Solo Piano
http://138.201.248.93:80/harder,RauteMusik HardeR
http://138.201.248.93:80/trance,RauteMusik Trance
http://138.201.248.93:80/club,RauteMusik Club
http://138.201.248.93:80/goldies,RauteMusik Goldies
http://live-radio01.mediahubaustralia.com/2FMW/mp3,ABC Classic FM
http://live-radio01.mediahubaustralia.com/FM2W/mp3,ABC Classic 2
http://stm.rthk.hk/radio3,RTHK R3
http://stm.rthk.hk/radio4,RTHK R4
